level,state,district,date,income_mean,income_median,expenditure_mean,income_minus_expenditure,income_to_expenditure_ratio,poverty,gini,headline_inflation,unemployment_rate,real_gdp_rm_billion,largest_sector,income_group,income_group_mean,income_group_vs_national_mean
district,Sarawak,Subis,2024-01-01,6475.0,5531.0,3967.0,1564.0,1.394,2.4,0.274,,,,,,,
district,Sarawak,Tanjung Manis,2024-01-01,4457.0,3837.0,2902.0,935.0,1.322,15.4,0.303,,,,,,,
district,Sarawak,Tatau,2024-01-01,5807.0,4409.0,3071.0,1338.0,1.436,2.6,0.308,,,,,,,
district,Sarawak,Tebedu,2024-01-01,3375.0,3024.0,2639.0,385.0,1.146,25.8,0.249,,,,,,,
district,Sarawak,Telang Usan,2024-01-01,4795.0,4281.0,2824.0,1457.0,1.516,1.3,0.229,,,,,,,
district,Selangor,Gombak,2024-01-01,14168.0,10777.0,7326.0,3451.0,1.471,2.1,0.366,,,,,,,
district,Selangor,Klang,2024-01-01,10912.0,8837.0,6927.0,1910.0,1.276,1.0,0.299,,,,,,,
district,Selangor,Kuala Langat,2024-01-01,11714.0,10583.0,6123.0,4460.0,1.728,0.3,0.16,,,,,,,
district,Selangor,Kuala Selangor,2024-01-01,10584.0,8046.0,5974.0,2072.0,1.347,1.8,0.35,,,,,,,
district,Selangor,Petaling,2024-01-01,14422.0,10688.0,8210.0,2478.0,1.302,1.0,0.387,,,,,,,
district,Selangor,Sabak Bernam,2024-01-01,8033.0,6941.0,5621.0,1320.0,1.235,2.7,0.268,,,,,,,
district,Selangor,Sepang,2024-01-01,15906.0,11131.0,7676.0,3455.0,1.45,0.1,0.332,,,,,,,
district,Selangor,Ulu Langat,2024-01-01,13822.0,11404.0,6758.0,4646.0,1.687,0.1,0.219,,,,,,,
district,Selangor,Ulu Selangor,2024-01-01,9499.0,8485.0,5425.0,3060.0,1.564,0.4,0.299,,,,,,,
district,Terengganu,Besut,2024-01-01,6747.0,5820.0,4339.0,1481.0,1.341,13.1,0.311,,,,,,,
district,Terengganu,Dungun,2024-01-01,8055.0,7156.0,5833.0,1323.0,1.227,4.4,0.308,,,,,,,
district,Terengganu,Hulu,2024-01-01,6360.0,6134.0,4554.0,1580.0,1.347,6.6,0.255,,,,,,,
district,Terengganu,Kemaman,2024-01-01,8973.0,7709.0,5644.0,2065.0,1.366,3.5,0.319,,,,,,,
district,Terengganu,Kuala Nerus,2024-01-01,8385.0,7304.0,5498.0,1806.0,1.328,1.6,0.282,,,,,,,
district,Terengganu,Kuala Terengganu,2024-01-01,7279.0,6615.0,5264.0,1351.0,1.257,4.2,0.267,,,,,,,
district,Terengganu,Marang,2024-01-01,6807.0,6246.0,5141.0,1105.0,1.215,7.3,0.281,,,,,,,
district,Terengganu,Setiu,2024-01-01,6359.0,6125.0,4314.0,1811.0,1.42,4.7,0.214,,,,,,,
state_income_group,Johor,,2024-01-01,,,,,,,,,,,,B40,4465.62,651.15
state_income_group,Johor,,2024-01-01,,,,,,,,,,,,M40,9336.5,592.62
state_income_group,Johor,,2024-01-01,,,,,,,,,,,,T20,19852.5,-815.15
state_income_group,Kedah,,2024-01-01,,,,,,,,,,,,B40,2776.4,-1038.07
state_income_group,Kedah,,2024-01-01,,,,,,,,,,,,M40,5775.75,-2968.13
state_income_group,Kedah,,2024-01-01,,,,,,,,,,,,T20,11879.15,-8788.5
state_income_group,Kelantan,,2024-01-01,,,,,,,,,,,,B40,2493.05,-1321.42
state_income_group,Kelantan,,2024-01-01,,,,,,,,,,,,M40,4907.75,-3836.13
state_income_group,Kelantan,,2024-01-01,,,,,,,,,,,,T20,11542.65,-9125.0
state_income_group,Melaka,,2024-01-01,,,,,,,,,,,,B40,4306.7,492.23
state_income_group,Melaka,,2024-01-01,,,,,,,,,,,,M40,8314.88,-429.0
state_income_group,Melaka,,2024-01-01,,,,,,,,,,,,T20,18229.15,-2438.5
state_income_group,Negeri Sembilan,,2024-01-01,,,,,,,,,,,,B40,3279.45,-535.02
state_income_group,Negeri Sembilan,,2024-01-01,,,,,,,,,,,,M40,6826.93,-1916.95
state_income_group,Negeri Sembilan,,2024-01-01,,,,,,,,,,,,T20,16383.55,-4284.1
state_income_group,Pahang,,2024-01-01,,,,,,,,,,,,B40,3205.72,-608.75
state_income_group,Pahang,,2024-01-01,,,,,,,,,,,,M40,5683.85,-3060.03
state_income_group,Pahang,,2024-01-01,,,,,,,,,,,,T20,12573.85,-8093.8
state_income_group,Perak,,2024-01-01,,,,,,,,,,,,B40,2833.2,-981.27
state_income_group,Perak,,2024-01-01,,,,,,,,,,,,M40,5715.73,-3028.15
state_income_group,Perak,,2024-01-01,,,,,,,,,,,,T20,13790.9,-6876.75
state_income_group,Perlis,,2024-01-01,,,,,,,,,,,,B40,2959.32,-855.15
state_income_group,Perlis,,2024-01-01,,,,,,,,,,,,M40,5846.35,-2897.53
state_income_group,Perlis,,2024-01-01,,,,,,,,,,,,T20,12437.55,-8230.1
state_income_group,Pulau Pinang,,2024-01-01,,,,,,,,,,,,B40,4151.2,336.73
state_income_group,Pulau Pinang,,2024-01-01,,,,,,,,,,,,M40,8913.92,170.04
state_income_group,Pulau Pinang,,2024-01-01,,,,,,,,,,,,T20,19660.25,-1007.4
state_income_group,Sabah,,2024-01-01,,,,,,,,,,,,B40,2769.55,-1044.92
state_income_group,Sabah,,2024-01-01,,,,,,,,,,,,M40,6018.3,-2725.58
state_income_group,Sabah,,2024-01-01,,,,,,,,,,,,T20,14934.05,-5733.6
state_income_group,Sarawak,,2024-01-01,,,,,,,,,,,,B40,3142.4,-672.07
state_income_group,Sarawak,,2024-01-01,,,,,,,,,,,,M40,6719.6,-2024.28
state_income_group,Sarawak,,2024-01-01,,,,,,,,,,,,T20,15028.75,-5638.9
state_income_group,Selangor,,2024-01-01,,,,,,,,,,,,B40,7012.25,3197.78
state_income_group,Selangor,,2024-01-01,,,,,,,,,,,,M40,12209.48,3465.6
state_income_group,Selangor,,2024-01-01,,,,,,,,,,,,T20,28091.1,7423.45
state_income_group,Terengganu,,2024-01-01,,,,,,,,,,,,B40,4119.15,304.68
state_income_group,Terengganu,,2024-01-01,,,,,,,,,,,,M40,7533.9,-1209.98
state_income_group,Terengganu,,2024-01-01,,,,,,,,,,,,T20,14874.75,-5792.9
state_income_group,W.P. Kuala Lumpur,,2024-01-01,,,,,,,,,,,,B40,6528.77,2714.3
state_income_group,W.P. Kuala Lumpur,,2024-01-01,,,,,,,,,,,,M40,12652.88,3909.0
state_income_group,W.P. Kuala Lumpur,,2024-01-01,,,,,,,,,,,,T20,31721.3,11053.65
state_income_group,W.P. Labuan,,2024-01-01,,,,,,,,,,,,B40,4226.88,412.41
state_income_group,W.P. Labuan,,2024-01-01,,,,,,,,,,,,M40,8636.17,-107.71
state_income_group,W.P. Labuan,,2024-01-01,,,,,,,,,,,,T20,17429.5,-3238.15
state_income_group,W.P. Putrajaya,,2024-01-01,,,,,,,,,,,,B40,6869.4,3054.93
state_income_group,W.P. Putrajaya,,2024-01-01,,,,,,,,,,,,M40,14055.42,5311.54
state_income_group,W.P. Putrajaya,,2024-01-01,,,,,,,,,,,,T20,27604.55,6936.9
national_income_group,Malaysia,,2024-01-01,,,,,,,,,,,,B40,3814.47,0
national_income_group,Malaysia,,2024-01-01,,,,,,,,,,,,M40,8743.88,0
national_income_group,Malaysia,,2024-01-01,,,,,,,,,,,,T20,20667.65,0
